Open,Close,VWAP,Volume,MACD,DPO,HULL-16,MFM,Lable
119.25,122.2,121.89,5233474,1.737770077,-6.6325,119.3274501,-10.18892137,1
124,119.25,121.98,2287485,2.449927728,-4.69,119.2712626,-8053.584035,-1
119.9,133.6,128.85,7480980,2.653116397,0.9675,120.1071421,-11.57681568,1
135,130.3,134.92,4498334,3.986017971,1.695,120.8109833,6.069946217,-1
131,133.95,133.22,2121520,4.666047051,1.39,123.8268302,11.32728178,1
135.5,130.6,133.17,1517800,5.504494324,0.9725,127.2717698,10.55314938,-1
131,133.15,132.46,1626902,5.739944167,2.4525,131.1709682,29.41876394,1
133,132.65,134.47,2983399,6.018495043,-2.8725,133.8365947,8.148904528,-1
133.75,129.15,131.23,1790456,6.227980781,-5.0425,135.8889745,15.58361088,-1
128.6,125.75,125.65,3303496,5.910559014,-4.305,137.0780671,32.64139435,-1
129.5,128.3,129.73,2178363,5.666276199,-4.9325,136.9713939,272.1380215,-1
128.5,127.15,127.38,638241,5.330595222,-0.4425,135.2077904,-10.15399919,-1
128.45,130.35,129.28,2013827,5.002869343,-4.1775,133.1421564,-20.67522798,1
131,128.95,129.49,993893,4.892407901,9.33,131.1116809,-2.917624953,-1
129.05,127.35,127.42,927373,4.59465129,5.3025,130.0116328,-3.925751482,-1
128.35,123.45,125.23,844267,4.253199334,8.3575,129.2731253,-2.869232268,-1
123.85,124.75,123.25,1173265,3.578426924,4.7475,128.577067,-2.990884123,1
124.95,123.35,124.91,1274714,3.0966656,6.7825,127.2785295,-2.81760964,-1
124,121.8,122.34,600593,2.608174412,5.81,126.0929061,-3.261983013,-1
122.5,120.95,122.15,1489781,2.076123601,2.02,124.8838015,-3.932608939,-1
121,121.95,121.73,377792,1.516003974,-1.6,123.6029424,-3.072533589,1
122.35,121.35,122.5,606964,1.167503178,0.9625,122.1827605,-4.528446005,-1
120.55,118.45,120.25,901077,0.737630992,-0.2925,121.1336145,-4.191610471,-1
119.9,126.4,125.33,3160737,0.340589124,3.665,120.4473811,-2.173611379,1
127,128.3,128.34,1664116,0.59170112,2.46,119.6275339,-4.93973052,1
128.9,127.15,128.45,1348685,0.933199246,1.1425,120.1899811,-6.332650793,-1
128.25,127.9,128.02,938540,1.138315054,-2.585,121.942179,-5.958841097,-1
